date,fund,asset_family,method,daily_return,gross_return,transaction_cost,turnover,growth_of_1,drawdown
2021-01-04,Equity Equal Weight,Equity,equal_weight,-0.014701064199660194,-0.013701064199660194,0.001,1.0,0.9852989358003398,0.0
2021-01-05,Equity Equal Weight,Equity,equal_weight,0.012674408604811126,0.012674408604811126,0.0,0.0,0.997787017110559,0.0
2021-01-06,Equity Equal Weight,Equity,equal_weight,0.013264430714510802,0.013264430714510802,0.0,0.0,1.0110220938668604,0.0
2021-01-07,Equity Equal Weight,Equity,equal_weight,0.00967979681270283,0.00967979681270283,0.0,0.0,1.020808582308645,0.0
2021-01-08,Equity Equal Weight,Equity,equal_weight,0.00286576936205043,0.00286576936205043,0.0,0.0,1.0237339842683433,0.0
2021-01-11,Equity Equal Weight,Equity,equal_weight,-8.806647741709233e-05,-8.806647741709233e-05,0.0,0.0,1.0236438276225366,-8.80664774171036e-05
2021-01-12,Equity Equal Weight,Equity,equal_weight,0.0030128435744148875,0.0030128435744148875,0.0,0.0,1.0267279063510786,0.0
2021-01-13,Equity Equal Weight,Equity,equal_weight,8.709165777319493e-05,8.709165777319493e-05,0.0,0.0,1.0268173257865245,0.0
2021-01-14,Equity Equal Weight,Equity,equal_weight,0.0030886482948785645,0.0030886482948785645,0.0,0.0,1.0299888033689668,0.0
2021-01-15,Equity Equal Weight,Equity,equal_weight,-0.010835450462099164,-0.010835450462099164,0.0,0.0,1.0188284107135455,-0.010835450462099216
2021-01-19,Equity Equal Weight,Equity,equal_weight,0.007283796632033242,0.007283796632033242,0.0,0.0,1.0262493496601204,-0.0036305770476485755
2021-01-20,Equity Equal Weight,Equity,equal_weight,0.007972222095949905,0.007972222095949905,0.0,0.0,1.034430837401435,0.0
2021-01-21,Equity Equal Weight,Equity,equal_weight,-0.007354873075140489,-0.007354873075140489,0.0,0.0,1.0268227298873362,-0.007354873075140489
2021-01-22,Equity Equal Weight,Equity,equal_weight,-0.0028008371292316966,-0.0028008371292316966,0.0,0.0,1.0239467666603288,-0.010135110402782477
2021-01-25,Equity Equal Weight,Equity,equal_weight,0.0019324605381932259,0.0019324605381932259,0.0,0.0,1.0259255033801105,-0.008222235565492841
2021-01-26,Equity Equal Weight,Equity,equal_weight,-0.005039220682649925,-0.005039220682649925,0.0,0.0,1.0207556383646192,-0.013220022588623648
2021-01-27,Equity Equal Weight,Equity,equal_weight,-0.025815778404221425,-0.025815778404221425,0.0,0.0,0.9944040369997387,-0.03869451581919825
2021-01-28,Equity Equal Weight,Equity,equal_weight,0.010643214962448225,0.010643214962448225,0.0,0.0,1.0049876929250532,-0.02846313490648167
2021-01-29,Equity Equal Weight,Equity,equal_weight,-0.01479378312667068,-0.01479378312667068,0.0,0.0,0.9901201229509469,-0.04283584058824064
2021-02-01,Equity Equal Weight,Equity,equal_weight,0.008517686014717274,0.008517686014717274,0.0,0.0,0.9985536552750964,-0.03468301681383035
2021-02-02,Equity Equal Weight,Equity,equal_weight,0.017473889706152948,0.017473889706152948,0.0,0.0,1.0160022717130495,-0.017815174318158822
2021-02-03,Equity Equal Weight,Equity,equal_weight,0.001902784610192674,0.001902784610192674,0.0,0.0,1.0179355051995858,-0.015946288147486776
2021-02-04,Equity Equal Weight,Equity,equal_weight,0.009138734300265726,0.009138734300265726,0.0,0.0,1.0272381473164116,-0.0069532827376762585
2021-02-05,Equity Equal Weight,Equity,equal_weight,0.0063170016890456634,0.0063170016890456634,0.0,0.0,1.0337272124280616,-0.0006802049474288197
2021-02-08,Equity Equal Weight,Equity,equal_weight,0.013036997474039063,0.013036997474039063,0.0,0.0,1.0472039114853315,0.0
