date,sector,sentiment_score,ticker_count,tickers_with_headlines,headline_count,sentiment_lag1
2020-01-02,Comm,0.6,5,4,11,0.0
2020-01-02,Consumer,0.0,5,5,22,0.0
2020-01-02,Energy,0.4,5,5,21,0.0
2020-01-02,Financials,0.2,5,5,12,0.0
2020-01-02,Healthcare,0.7333333333333333,5,5,23,0.0
2020-01-02,Industrials,0.2,5,5,13,0.0
2020-01-02,Materials,0.0,5,3,7,0.0
2020-01-02,RealEstate,0.0,5,2,3,0.0
2020-01-02,Tech,0.5,5,4,25,0.0
2020-01-02,Utilities,0.2,5,1,1,0.0
2020-01-03,Comm,0.0,5,2,3,0.6
2020-01-03,Consumer,0.2,5,4,10,0.0
2020-01-03,Energy,0.8,5,5,28,0.4
2020-01-03,Financials,0.06666666666666667,5,3,8,0.2
2020-01-03,Healthcare,0.2,5,2,6,0.7333333333333333
2020-01-03,Industrials,-0.4,5,4,7,0.2
2020-01-03,Materials,0.26666666666666666,5,2,3,0.0
2020-01-03,RealEstate,0.2,5,3,5,0.0
2020-01-03,Tech,0.2,5,4,17,0.5
2020-01-03,Utilities,0.4,5,2,4,0.2
2020-01-06,Comm,0.2,5,3,16,0.0
2020-01-06,Consumer,0.5,5,5,44,0.2
2020-01-06,Energy,0.4,5,5,34,0.8
2020-01-06,Financials,-0.3,5,5,12,0.06666666666666667
2020-01-06,Healthcare,0.8,5,5,12,0.2
2020-01-06,Industrials,-0.26666666666666666,5,3,14,-0.4
2020-01-06,Materials,0.4,5,4,9,0.26666666666666666
2020-01-06,RealEstate,0.0,5,3,4,0.2
2020-01-06,Tech,0.0,5,5,13,0.2
2020-01-06,Utilities,0.0,5,4,6,0.4
2020-01-07,Comm,0.2,5,3,5,0.2
2020-01-07,Consumer,0.6,5,5,22,0.5
2020-01-07,Energy,0.24,5,3,12,0.4
2020-01-07,Financials,0.4,5,4,11,-0.3
2020-01-07,Healthcare,0.2,5,5,15,0.8
2020-01-07,Industrials,0.2,5,4,13,-0.26666666666666666
2020-01-07,Materials,0.2,5,3,3,0.4
2020-01-07,RealEstate,0.2,5,2,2,0.0
2020-01-07,Tech,0.6,5,4,21,0.0
2020-01-07,Utilities,0.2,5,1,1,0.0
2020-01-08,Comm,0.4,5,4,20,0.2
2020-01-08,Consumer,0.0,5,4,16,0.6
2020-01-08,Energy,0.33333333333333337,5,5,17,0.24
2020-01-08,Financials,0.2,5,3,4,0.4
2020-01-08,Healthcare,0.34285714285714286,5,3,13,0.2
2020-01-08,Industrials,0.0,5,3,12,0.2
2020-01-08,Materials,-0.2,5,2,6,0.2
2020-01-08,RealEstate,0.4,5,2,3,0.2
2020-01-08,Tech,0.8,5,4,22,0.6
2020-01-08,Utilities,0.0,5,3,3,0.2
2020-01-09,Comm,0.4,5,5,6,0.4
2020-01-09,Consumer,0.8,5,5,25,0.0
2020-01-09,Energy,0.2,5,4,10,0.33333333333333337
2020-01-09,Financials,0.2,5,5,11,0.2
2020-01-09,Healthcare,0.6,5,3,8,0.34285714285714286
2020-01-09,Industrials,0.0,5,5,9,0.0
2020-01-09,Materials,0.2,5,3,6,-0.2
2020-01-09,RealEstate,0.0,5,1,1,0.4
2020-01-09,Tech,0.6,5,5,17,0.8
2020-01-09,Utilities,0.2,5,4,5,0.0
2020-01-10,Comm,0.2,5,4,8,0.4
2020-01-10,Consumer,0.0,5,5,15,0.8
2020-01-10,Energy,0.0,5,5,15,0.2
2020-01-10,Financials,0.06666666666666667,5,3,7,0.2
2020-01-10,Healthcare,0.0,5,5,12,0.6
2020-01-10,Industrials,0.0,5,3,8,0.0
2020-01-10,Materials,0.4,5,4,4,0.2
2020-01-10,RealEstate,0.0,5,5,6,0.0
2020-01-10,Tech,0.5666666666666667,5,4,21,0.6
2020-01-10,Utilities,0.4,5,4,7,0.2
2020-01-13,Comm,0.2,5,2,14,0.2
2020-01-13,Consumer,0.5666666666666667,5,5,29,0.0
2020-01-13,Energy,0.4,5,5,19,0.0
2020-01-13,Financials,0.12,5,5,33,0.06666666666666667
2020-01-13,Healthcare,0.8,5,5,24,0.0
2020-01-13,Industrials,0.0,5,4,10,0.0
2020-01-13,Materials,0.2,5,2,4,0.4
2020-01-13,RealEstate,0.2,5,1,3,0.0
2020-01-13,Tech,0.4666666666666666,5,5,39,0.5666666666666667
2020-01-13,Utilities,0.2,5,4,6,0.4
2020-01-14,Comm,0.0,5,2,4,0.2
2020-01-14,Consumer,0.6,5,5,19,0.5666666666666667
2020-01-14,Energy,0.8,5,5,23,0.4
2020-01-14,Financials,0.12,5,5,38,0.12
2020-01-14,Healthcare,0.2,5,4,9,0.8
2020-01-14,Industrials,0.2,5,3,10,0.0
2020-01-14,Materials,0.2,5,2,4,0.2
2020-01-14,RealEstate,0.0,5,1,2,0.2
2020-01-14,Tech,0.6,5,3,12,0.4666666666666666
2020-01-14,Utilities,0.0,5,3,5,0.2
2020-01-15,Comm,0.0,5,3,9,0.0
2020-01-15,Consumer,0.6,5,4,27,0.6
2020-01-15,Energy,0.7333333333333334,5,5,13,0.8
2020-01-15,Financials,0.13999999999999999,5,5,36,0.12
2020-01-15,Healthcare,0.2,5,3,12,0.2
2020-01-15,Industrials,0.6,5,4,10,0.2
2020-01-15,Materials,0.2,5,2,4,0.2
2020-01-15,RealEstate,0.2,5,2,7,0.0
2020-01-15,Tech,0.4,5,5,24,0.6
2020-01-15,Utilities,0.2,5,4,10,0.0
2020-01-16,Comm,0.6,5,4,17,0.0
2020-01-16,Consumer,0.2,5,4,19,0.6
2020-01-16,Energy,0.4,5,3,13,0.7333333333333334
2020-01-16,Financials,0.6666666666666666,5,5,46,0.13999999999999999
