date,sector,sentiment_score,ticker_count,tickers_with_headlines,headline_count,sentiment_lag1
2020-01-02,Comm,0.23084,5,4,11,0.0
2020-01-02,Consumer,-0.13938,5,5,22,0.0
2020-01-02,Energy,0.50622,5,5,21,0.0
2020-01-02,Financials,0.28968,5,5,12,0.0
2020-01-02,Healthcare,0.67444,5,5,23,0.0
2020-01-02,Industrials,0.14696,5,5,13,0.0
2020-01-02,Materials,0.21949999999999997,5,3,7,0.0
2020-01-02,RealEstate,0.02054,5,2,3,0.0
2020-01-02,Tech,0.25368,5,4,25,0.0
2020-01-02,Utilities,0.12738,5,1,1,0.0
2020-01-03,Comm,0.10846,5,2,3,0.23084
2020-01-03,Consumer,-0.17686,5,4,10,-0.13938
2020-01-03,Energy,-0.08342000000000001,5,5,28,0.50622
2020-01-03,Financials,0.04314,5,3,8,0.28968
2020-01-03,Healthcare,0.21546000000000004,5,2,6,0.67444
2020-01-03,Industrials,-0.23752,5,4,7,0.14696
2020-01-03,Materials,-0.08814000000000001,5,2,3,0.21949999999999997
2020-01-03,RealEstate,-0.11592,5,3,5,0.02054
2020-01-03,Tech,0.30816,5,4,17,0.25368
2020-01-03,Utilities,0.14006000000000002,5,2,4,0.12738
2020-01-06,Comm,0.37426,5,3,16,0.10846
2020-01-06,Consumer,0.63254,5,5,44,-0.17686
2020-01-06,Energy,0.42742,5,5,34,-0.08342000000000001
2020-01-06,Financials,0.4405,5,5,12,0.04314
2020-01-06,Healthcare,0.55202,5,5,12,0.21546000000000004
2020-01-06,Industrials,0.20034000000000002,5,3,14,-0.23752
2020-01-06,Materials,0.028080000000000004,5,4,9,-0.08814000000000001
2020-01-06,RealEstate,0.11839999999999999,5,3,4,-0.11592
2020-01-06,Tech,-0.02462000000000001,5,5,13,0.30816
2020-01-06,Utilities,0.07274,5,4,6,0.14006000000000002
2020-01-07,Comm,0.17558,5,3,5,0.37426
2020-01-07,Consumer,0.44509999999999994,5,5,22,0.63254
2020-01-07,Energy,0.1631,5,3,12,0.42742
2020-01-07,Financials,0.19727999999999998,5,4,11,0.4405
2020-01-07,Healthcare,0.21142000000000002,5,5,15,0.55202
2020-01-07,Industrials,0.17421999999999999,5,4,13,0.20034000000000002
2020-01-07,Materials,0.07636,5,3,3,0.028080000000000004
2020-01-07,RealEstate,0.0,5,2,2,0.11839999999999999
2020-01-07,Tech,0.04546,5,4,21,-0.02462000000000001
2020-01-07,Utilities,0.12738,5,1,1,0.07274
2020-01-08,Comm,0.4184,5,4,20,0.17558
2020-01-08,Consumer,0.21358000000000002,5,4,16,0.44509999999999994
2020-01-08,Energy,0.12183999999999999,5,5,17,0.1631
2020-01-08,Financials,0.35906,5,3,4,0.19727999999999998
2020-01-08,Healthcare,0.3764,5,3,13,0.21142000000000002
2020-01-08,Industrials,0.056920000000000005,5,3,12,0.17421999999999999
2020-01-08,Materials,0.017359999999999997,5,2,6,0.07636
2020-01-08,RealEstate,-0.006319999999999992,5,2,3,0.0
2020-01-08,Tech,0.28628,5,4,22,0.04546
2020-01-08,Utilities,0.16784000000000002,5,3,3,0.12738
2020-01-09,Comm,0.21486,5,5,6,0.4184
2020-01-09,Consumer,0.7700199999999999,5,5,25,0.21358000000000002
2020-01-09,Energy,0.15411999999999998,5,4,10,0.12183999999999999
2020-01-09,Financials,0.30532000000000004,5,5,11,0.35906
2020-01-09,Healthcare,0.18044,5,3,8,0.3764
2020-01-09,Industrials,0.08092,5,5,9,0.056920000000000005
2020-01-09,Materials,0.07636,5,3,6,0.017359999999999997
2020-01-09,RealEstate,0.0,5,1,1,-0.006319999999999992
2020-01-09,Tech,0.34712,5,5,17,0.28628
2020-01-09,Utilities,0.059199999999999996,5,4,5,0.16784000000000002
2020-01-10,Comm,0.15844,5,4,8,0.21486
2020-01-10,Consumer,0.03290000000000002,5,5,15,0.7700199999999999
2020-01-10,Energy,0.25576,5,5,15,0.15411999999999998
2020-01-10,Financials,0.33416,5,3,7,0.30532000000000004
2020-01-10,Healthcare,0.35592,5,5,12,0.18044
2020-01-10,Industrials,0.14687999999999998,5,3,8,0.08092
2020-01-10,Materials,-0.08571999999999999,5,4,4,0.07636
2020-01-10,RealEstate,-0.11144000000000001,5,5,6,0.0
