fund,asset_family,method,start_date,end_date,observations,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,estimation_window_days,rebalance_frequency,risk_free_rate,transaction_cost_bps,average_turnover,total_transaction_cost
Combined Equal Weight,Combined,equal_weight,2021-01-04,2023-12-29,753,0.5160021390557241,0.14940543016913366,0.2125248097592382,0.7030023004767761,-0.2874698799026557,252,month_end,0.0,10.0,0.0013280212483399733,0.001
Combined Max Sharpe,Combined,max_sharpe,2021-01-04,2023-12-29,753,0.5652201221270854,0.16176121724366022,0.22393517986622785,0.7223573238483185,-0.2601179621697761,252,month_end,0.0,10.0,0.02394913664038305,0.01803369989020844
Combined Min Variance,Combined,min_variance,2021-01-04,2023-12-29,753,0.13475786615997598,0.04321537700353528,0.12804555007155946,0.33750003010166274,-0.15833418104052144,252,month_end,0.0,10.0,0.013257731635560769,0.009983071921577259
Combined Risk Parity,Combined,risk_parity,2021-01-04,2023-12-29,753,0.465670073341669,0.13649075286282164,0.16039634171515352,0.850959263804248,-0.19792189414213035,252,month_end,0.0,10.0,0.003248774047758515,0.002446326857962162
Crypto Equal Weight,Crypto,equal_weight,2020-12-31,2023-12-29,754,0.09193867606913741,0.029832334185285525,0.741938849808619,0.04020861583536256,-0.8484908847925203,252,month_end,0.0,10.0,0.001326259946949602,0.001
Crypto Max Sharpe,Crypto,max_sharpe,2020-12-31,2023-12-29,754,-0.49532349033821677,-0.20431389200801386,0.7049749814305573,-0.2898172238586591,-0.881579938931944,252,month_end,0.0,10.0,0.019581242270067478,0.014764256671630878
Crypto Min Variance,Crypto,min_variance,2020-12-31,2023-12-29,754,0.8400237475668368,0.22605125392988068,0.6494794440107458,0.34804989752091464,-0.751254834663206,252,month_end,0.0,10.0,0.007344080569973675,0.005537436749760151
Crypto Risk Parity,Crypto,risk_parity,2020-12-31,2023-12-29,754,0.19879616479585316,0.062473416946199345,0.7262494082430999,0.0860219867129825,-0.8360354498324063,252,month_end,0.0,10.0,0.0024431263777670124,0.0018421172888363276
Equity Equal Weight,Equity,equal_weight,2021-01-04,2023-12-29,753,0.4258132462929425,0.1260529521719993,0.16169249461808524,0.7795844356890782,-0.20321862626913545,252,month_end,0.0,10.0,0.0013280212483399733,0.001
Equity Max Sharpe,Equity,max_sharpe,2021-01-04,2023-12-29,753,0.1521147703000032,0.04852852322444212,0.17167345126394265,0.2826792545216034,-0.2559833605033922,252,month_end,0.0,10.0,0.02406732004775418,0.018122691995958895
Equity Min Variance,Equity,min_variance,2021-01-04,2023-12-29,753,0.1325203460505584,0.04252652109536936,0.12773373860334225,0.3329309981870101,-0.1554851031868555,252,month_end,0.0,10.0,0.013184038073011923,0.009927580668977979
Equity Risk Parity,Equity,risk_parity,2021-01-04,2023-12-29,753,0.3222516384115801,0.09799192369780108,0.14583434530464331,0.6719399568949211,-0.18680470579040553,252,month_end,0.0,10.0,0.003048194905182846,0.002295290763602683
