Period,Fund,Start date,End date,Observations,Ann. return (%),Ann. volatility (%),Sharpe,Max drawdown (%),Total return (%)
Full sample,Combined Equal Weight,2021-01-04,2023-12-29,753,14.940543016913367,21.25248097592382,0.7030023004767761,-28.74698799026557,51.60021390557241
2021 recovery,Combined Equal Weight,2021-01-04,2021-12-31,252,43.8711377530433,21.89476931127689,2.003726877836867,-11.42937848944776,43.8711377530433
2022 drawdown,Combined Equal Weight,2022-01-03,2022-12-30,251,-15.636429818814701,25.352599397685488,-0.6167584464826986,-26.942324786944393,-15.57948712466326
2023 recovery,Combined Equal Weight,2023-01-03,2023-12-29,250,25.039830105458428,15.15410521486007,1.6523463279708819,-10.750162875795798,24.81826736390036
Full sample,Combined Max Sharpe,2021-01-04,2023-12-29,753,16.17612172436602,22.393517986622786,0.7223573238483185,-26.01179621697761,56.52201221270854
2021 recovery,Combined Max Sharpe,2021-01-04,2021-12-31,252,56.6646090622539,29.06108513848346,1.9498449143324357,-12.558072048635937,56.6646090622539
2022 drawdown,Combined Max Sharpe,2022-01-03,2022-12-30,251,-5.6216215157106175,20.63118730824365,-0.2724817254440986,-26.011796216977558,-5.599950134076548
2023 recovery,Combined Max Sharpe,2023-01-03,2023-12-29,250,5.8837606967971245,15.150493354317748,0.3883543960712215,-12.228027499524185,5.8357275031138744
Full sample,Combined Min Variance,2021-01-04,2023-12-29,753,4.321537700353528,12.804555007155946,0.33750003010166274,-15.833418104052143,13.475786615997599
2021 recovery,Combined Min Variance,2021-01-04,2021-12-31,252,11.02795009088824,11.005259992968561,1.0020617502843345,-8.057442901595602,11.02795009088824
2022 drawdown,Combined Min Variance,2022-01-03,2022-12-30,251,1.999560248164478,16.027139405730036,0.12476089447687674,-15.833418104052088,1.9915469934042918
2023 recovery,Combined Min Variance,2023-01-03,2023-12-29,250,0.21066748815556924,10.721104100918815,0.019649794104463054,-10.75882615282583,0.20899377803402786
Full sample,Combined Risk Parity,2021-01-04,2023-12-29,753,13.649075286282164,16.039634171515353,0.850959263804248,-19.792189414213034,46.5670073341669
2021 recovery,Combined Risk Parity,2021-01-04,2021-12-31,252,36.63840842752322,14.64760425482686,2.5013242978249957,-7.051829656872122,36.63840842752322
2022 drawdown,Combined Risk Parity,2022-01-03,2022-12-30,251,-7.049599823271901,19.897607550212673,-0.3542938418843502,-19.792189414212945,-7.022631381845301
2023 recovery,Combined Risk Parity,2023-01-03,2023-12-29,250,15.500234009778758,12.66286001936325,1.2240705485235384,-9.272232814811698,15.368215410173903
Full sample,Crypto Equal Weight,2020-12-31,2023-12-29,754,2.9832334185285525,74.1938849808619,0.04020861583536256,-84.84908847925203,9.193867606913741
2021 recovery,Crypto Equal Weight,2021-01-04,2021-12-31,252,82.1616637711809,98.24688682241504,0.8362775292787772,-61.06416679039064,82.1616637711809
2022 drawdown,Crypto Equal Weight,2022-01-03,2022-12-30,251,-61.29386108556434,68.03000947166034,-0.900982692220525,-65.86614101742094,-61.14779736169753
2023 recovery,Crypto Equal Weight,2023-01-03,2023-12-29,250,56.674983901862205,46.900545618694146,1.2084077733899978,-28.65569149733931,56.11766332842188
Full sample,Crypto Max Sharpe,2020-12-31,2023-12-29,754,-20.431389200801387,70.49749814305572,-0.2898172238586591,-88.1579938931944,-49.532349033821674
2021 recovery,Crypto Max Sharpe,2021-01-04,2021-12-31,252,24.382723347267856,85.48973316574123,0.28521229911896456,-54.87001984468043,24.382723347267856
2022 drawdown,Crypto Max Sharpe,2022-01-03,2022-12-30,251,-70.87477216321209,67.6469376974193,-1.0477158992803295,-75.48393207005049,-70.7318517117372
2023 recovery,Crypto Max Sharpe,2023-01-03,2023-12-29,250,40.622137601002976,54.80485741689913,0.741214182750106,-36.61071325387769,40.24218387438472
Full sample,Crypto Min Variance,2020-12-31,2023-12-29,754,22.605125392988068,64.94794440107458,0.34804989752091464,-75.1254834663206,84.00237475668368
2021 recovery,Crypto Min Variance,2021-01-04,2021-12-31,252,154.60967549423881,86.75738799695264,1.7820923273954428,-52.97399603278915,154.60967549423881
2022 drawdown,Crypto Min Variance,2022-01-03,2022-12-30,251,-57.57491451680134,59.614642650221626,-0.9657847796658277,-62.909287791529756,-57.43031724613721
