Sector,Average sentiment,Total headlines,Avg tickers with headlines
Consumer,0.5211233130154994,25877,4.6958250497017895
Tech,0.48531739561330417,26632,4.323061630218688
Healthcare,0.3964506788486018,14697,4.178926441351889
Energy,0.3432167002206825,19365,4.220675944333996
Comm,0.3241119147682708,11783,3.783300198807157
Financials,0.29793525992543823,18269,4.3747514910536776
Industrials,0.2911193055413184,13156,3.7594433399602387
RealEstate,0.254671021490107,5339,2.779324055666004
Utilities,0.21125117978994717,6319,2.9642147117296225
Materials,0.16357491415145492,5393,2.6560636182902586
