date,ticker,sector,headline_count,Headline bundle,Finance score,VADER score,Absolute difference,Direction agreement
2021-02-17,WFC,Financials,7,"This Fintech Disruptor Reported an Amazing Fourth Quarter | US STOCKS-Nasdaq falls as big tech slides; Fed minutes in focus | US STOCKS-S&P 500, Nasdaq fall as tech slides and inflation concerns weigh | Wells Fargo wins Fed acceptance for o",-1.0,0.9702,1.9702,False
2023-06-13,GS,Financials,11,"US bank shares rise after inflation data | US bank shares rise on inflation data, positive Wells Fargo comments | Why Caterpillar and Deere Outpaced the Market on Tuesday | Why Shares of Alibaba, Bilibili, and Baidu Are Rising Today | UBS G",-1.0,0.9623,1.9623,False
2020-05-06,CVX,Energy,7,"3 Big Stock Charts for Wednesday: Exxon Mobil, Chevron, and Royal Dutch Shell | Dow Jones Today: Tech Leads on a Slow Day | GLOBAL MARKETS-World shares mixed amid hopes for business pickup, oil slips | GLOBAL MARKETS-World shares mixed amid",-1.0,0.9578,1.9578,False
2020-05-20,MRK,Healthcare,14,"Why Surface Oncology's Stock Is Surging Higher | UK Stocks-Factors to watch on May 20 | The Daily Biotech Pulse: Aldeyra Jumps Into COVID-19 Drug Fray, FDA Nod For Myriad's Companion Diagnostic Test | Mid-Afternoon Market Update: Crude Oil ",1.0,-0.9542,1.9542000000000002,False
2023-10-03,WFC,Financials,8,Why Shares of Enhabit Slumped on Tuesday | Wells Fargo's Preferred Stock Series CC Shares Cross 6.5% Yield Mark | Wells Fargo (WFC) Divests $2B Private Equity Fund Investments | Relative Strength Alert For Wells Fargo | Ally (ALLY) Streamli,-1.0,0.9509,1.9508999999999999,False
2022-06-23,ABT,Healthcare,5,5 Dividend Kings to Buy Now | Abbott (ABT) Gains But Lags Market: What You Should Know | FDA Probes Death Of Infant Who Consumed Abbott Infant Formula | FDA probes one more infant death potentially related to Abbott baby formula | Why Inves,1.0,-0.94,1.94,False
2022-06-01,SBUX,Consumer,4,Nasdaq Bear Market: 3 Brand-Name Stocks You'll Regret Not Buying on the Dip | Walmart shareholder proposal on abortion ban impact fails | Walmart shareholder proposal for report on abortion ban impact fails | Got $400? Here Are 3 Stocks to ,1.0,-0.9393,1.9393,False
2020-04-08,GILD,Healthcare,9,"Why Forty Seven Stock Skyrocketed 64.5% in March | UPDATE: RBC Issues Report On Gilead: 'New Remdesivir Trial Changes Aim To Maximize Odds, Though Suggests Dramatic Effects Unlikely' | Novavax to start human trial for novel coronavirus vacc",-1.0,0.9369,1.9369,False
2022-11-10,DIS,Consumer,9,"ANALYSIS-Ron DeSantis' big election night shakes 2024 White House field | Zacks Earnings Trends Highlights: Disney, Take-Two, DuPont and Viatris | Stock Market News for Nov 10, 2022 | Should You Invest in the Invesco NASDAQ Internet ETF (PN",1.0,-0.9367,1.9367,False
2020-05-13,WFC,Financials,11,"2 Warren Buffett Stocks Worth Buying Now | 5 Top Stock Trades for Thursday: AAPL, SPY, WFC, CLVS, SAVE | BUZZ-U.S. STOCKS ON THE MOVE-Cornerstone Building, Aerpio Pharma, J.C. Penney | Compass Point Maintains Neutral on Wells Fargo, Lowers ",-1.0,0.9364,1.9364,False
2020-03-27,MRK,Healthcare,2,"Cramer Reveals Stock Favorites, Says Intuitive Surgical A 'Winner' | Shares of several healthcare companies are trading lower, selling off from this week's strength. While the US stimulus legislation has boosted economic optimism, demand co",-1.0,0.936,1.936,False
2020-11-05,MRK,Healthcare,6,Pappas Capital's VelosBio To Be Acquired By Merck In $2.75 Bln Cash Deal | Merck to buy cancer drug developer VelosBio for $2.75 bln | Merck to bolster cancer drug portfolio with VelosBio $2.75 bln deal | Merck Makes a $2.8 Billion Bet on a,1.0,-0.9349,1.9348999999999998,False
2023-09-25,MRK,Healthcare,4,"The Zacks Analyst Blog Highlights Pfizer, Merck and AstraZeneca | Seagen's (SGEN) Combo Drug Meets Goals in Bladder Cancer Study | Merck (MRK), Eisai Combo Therapy Fail Two Lung Cancer Studies | 2 Undervalued Dividend Stocks with 5% Yields ",1.0,-0.9337,1.9337,False
2020-03-27,NEE,Utilities,3,"Shares of several utility companies are trading lower potentially on a sell-off from this week's strength. While US stimulus legislation has boosted economic optimism, demand concerns still exist amid the coronavirus. | Stocks With Rising R",-1.0,0.93,1.9300000000000002,False
2021-03-23,WFC,Financials,4,Wells Fargo To Sell Corporate Trust Services Business To Australia's Computershare | ThredUp IPO: When Does ThredUp Go Public? What Is the TDUP Stock IPO Price Range? | Australia's Computershare agrees to acquire Wells Fargo Corporate Trust,-1.0,0.9294,1.9294,False
2023-04-10,MRK,Healthcare,11,"Guru Fundamental Report for MRK | Merck, Eisai Announce Disappointing Results From Phase 3 LEAP-003 And LEAP-017 Trials | Merck, Eisai to discontinue late-stage study for skin cancer | Zacks Investment Ideas feature highlights: Nvidia, Unit",1.0,-0.9287,1.9287,False
2020-02-11,NEE,Utilities,7,"Charter Trust Co Buys Berkshire Hathaway Inc, The Walt Disney Co, NextEra Energy Inc, Sells ... | Cincinnati Insurance Co Buys Sempra Energy, NextEra Energy Inc, TC Energy Corp, Sells DCP ... | Dana Investment Advisors, Inc. Buys Eversource",-1.0,0.9274,1.9274,False
2023-09-22,MRK,Healthcare,8,"Pharma Stock Roundup: EU Nod to PFE's Litfulo, FDA Priority Tag to MRK Applications | Should Schwab U.S. Dividend Equity ETF (SCHD) Be on Your Investing Radar? | 3 Reasons to Buy Merck Stock | Bristol Myers' (BMY) Opdivo Positive in Late-St",1.0,-0.9274,1.9274,False
2020-10-05,SBUX,Consumer,3,"Got $1,000? Now Is a Perfect Time to Invest in These Robinhood Favorites | Best Stocks for 2020: Luckin Coffee Stock Has Greatly Improved Its Outlook | 5 Stocks That Miss Your Morning Commute",-1.0,0.9259,1.9259,False
2020-10-16,GILD,Healthcare,13,"US STOCKS-Futures perk up on vaccine hopes as stimulus stand-off weighs | US STOCKS-Futures climb on vaccine hopes, upbeat retail sales data | NIH tests therapies to help cut hospital stays for COVID-19 patients | BUZZ-U.S. STOCKS ON THE MO",-1.0,0.9247,1.9247,False
2022-03-21,COP,Energy,4,"Oil Prices Are Falling, but These 3 Energy Stocks Are Still Great Buys | 3 Passive Income Stocks You Won't Want to Overlook | Ovintiv (OVV) Shares Rise 21.4% Despite Q4 Earnings Miss | Rwanda's economy seen expanding slower this year as inf",-1.0,0.9236,1.9236,False
2020-03-27,AMD,Tech,3,"Noteworthy ETF Outflows: RSP, REGN, GILD, AMD | Shares of several technology, semiconductor, and software companies are trading lower as a potential sell-off from this week's strength. While US stimulus legislation has boosted economic opti",-1.0,0.9169,1.9169,False
2020-04-21,DIS,Consumer,15,"Will Disney's New Game Shield Glu Mobile From the COVID-19 Downturn? | AT&T will make HBO Max free to some customers, sets May 27 launch | AT&T's HBO Max to Launch Following Memorial Day Weekend | Augustine Asset Management Inc Buys Mylan N",-1.0,0.9159,1.9159000000000002,False
2020-12-09,BA,Industrials,9,"US STOCKS-S&P 500 set for record open on vaccine, stimulus bets | US STOCKS-S&P 500 futures climb to record high on vaccine, stimulus bets | UK tariff waiver piles domestic trade pressure on Airbus | UK tariff decision plunges Airbus into n",1.0,-0.9153,1.9153,False
2022-03-30,XOM,Energy,3,Wall Street slips as optimism over Russia-Ukraine peace talks ebbs | US STOCKS-Wall Street set to open lower as Ukraine optimism fades | US STOCKS-Futures slip as Ukraine optimism fades,-1.0,0.9153,1.9153,False
2022-05-12,AMD,Tech,8,AMD Collaborates With Meta to Help Make Metaverse a Reality | How to Invest in Web 3.0? 3 Stocks That Will Be the Long-Term Winner | Can Nvidia Stock Help Lead the Rebound in Tech Stocks? | Why Advanced Micro Devices Is Shockingly Cheap Rig,-1.0,0.9143,1.9143,False
2023-12-13,V,Financials,9,"Guru Fundamental Report for V | Here's Why Visa (V) Gained But Lagged the Market Today | Is Block Stock a Buy? | The War on Cash, Revisited | UK Payments Regulator Proposes To Cap Cross-border Fees On Mastercard, Visa Cards | UK payments re",1.0,-0.9111,1.9111,False
2022-03-11,XOM,Energy,8,"US STOCKS-Futures climb 1% as Putin hints at progress in talks with Ukraine | Stock Market News for Mar 11, 2022 | Should You Invest in the iShares U.S. Energy ETF (IYE)? | 4 Energy Stocks From the Promising Integrated Oil Industry | EXCLUS",-1.0,0.9082,1.9082,False
