Regime,Fund,Observations,Average lagged sentiment,Average daily return (%),Positive return days (%),Ann. return (%),Ann. volatility (%),Sharpe,Max drawdown (%),Total return (%)
Negative,Combined Equal Weight,212,0.2045699526667749,0.09732183239781225,54.24528301886793,24.141188956224656,24.08721404153651,1.0022408118512616,-11.03148977700268,19.952309677530945
Neutral,Combined Equal Weight,256,0.3283598823553441,0.09788273649382467,55.46875,25.41474062256155,20.108447350405953,1.2638837887226768,-8.168829143296907,25.866360048552384
Positive,Combined Equal Weight,285,0.4728015556405911,0.009402035364862824,52.63157894736842,0.3633720336751578,20.01555417466787,0.018154482783946574,-25.696603532632643,0.41105413956190606
Negative,Combined Max Sharpe,212,0.2045699526667749,0.03246561907052969,52.83018867924528,5.373055038538199,24.39988759367943,0.22020818816927828,-20.38343461029861,4.501302391129003
Neutral,Combined Max Sharpe,256,0.3283598823553441,0.09162951207778815,53.90625,22.50150242341984,23.673860452148112,0.9504787978666194,-12.863439330553916,22.89677464647495
Positive,Combined Max Sharpe,285,0.4728015556405911,0.07698405338095042,52.98245614035088,19.11470678271401,19.54241588958108,0.9781138059243175,-16.761869117524462,21.87460865499762
Negative,Combined Min Variance,212,0.2045699526667749,-0.019697097017077142,51.886792452830186,-5.586137031653548,12.545930155985019,-0.44525491232618486,-11.841156006213026,-4.720746928979603
Neutral,Combined Min Variance,256,0.3283598823553441,0.08533311756112628,54.6875,23.04101113323167,12.37112359055146,1.862483303523814,-6.08269674903571,23.446634627492436
Positive,Combined Min Variance,285,0.4728015556405911,-0.009044489757401346,53.68421052631579,-3.121154551681271,13.35292491943752,-0.23374313646726824,-17.12348627565702,-3.5225972774690417
Negative,Combined Risk Parity,212,0.2045699526667749,0.06012394595612264,54.71698113207547,14.76781814616881,16.623345043569905,0.8883782480278339,-8.807854655045155,12.285807704433926
Neutral,Combined Risk Parity,256,0.3283598823553441,0.08976520340933028,57.421875,23.904669164403238,15.386727481046892,1.5535902090843294,-6.543247102534355,24.326942815704488
Positive,Combined Risk Parity,285,0.4728015556405911,0.022300994751687807,52.63157894736842,4.399303876766125,16.21081492014184,0.27138079722938646,-17.780729051968436,4.989555845623328
Negative,Crypto Equal Weight,213,0.20464239420355063,0.31331804338956604,55.39906103286385,42.81325960148668,91.63133159047383,0.46723384740092133,-51.27438778037619,35.15006500940379
Neutral,Crypto Equal Weight,256,0.3283598823553441,0.18831628426961206,51.171875,22.03108679595005,74.48612161132242,0.2957743848029962,-46.77376122625828,22.41736476362992
Positive,Crypto Equal Weight,285,0.4728015556405911,-0.0797353440676759,51.92982456140351,-30.74766009728873,57.686931034402555,-0.5330091156860444,-66.4208379125673,-34.00075559673187
Negative,Crypto Max Sharpe,213,0.20464239420355063,0.2709657944254204,51.64319248826291,43.12428645826771,80.22692482282409,0.5375288477466247,-36.638011830810655,35.39880839843641
Neutral,Crypto Max Sharpe,256,0.3283598823553441,0.01571834802605003,52.34375,-18.51447541474642,69.8894919213738,-0.26491071698697344,-56.980603317313815,-18.778866778306757
Positive,Crypto Max Sharpe,285,0.4728015556405911,-0.1955691753887033,49.473684210526315,-49.77760709089078,62.95467293702768,-0.7906896306280925,-75.59553712307236,-54.108822210035726
Negative,Crypto Min Variance,213,0.20464239420355063,0.39782029334054164,53.52112676056338,96.36166399944955,80.40700778102556,1.1984237028428382,-41.162086157553944,76.8897589237802
Neutral,Crypto Min Variance,256,0.3283598823553441,0.19594515198703283,50.0,33.67641299758526,63.9830544158132,0.5263333128601351,-38.449077770247655,34.29370417811419
Positive,Crypto Min Variance,285,0.4728015556405911,-0.03634152464315518,52.98245614035088,-20.217033461412758,51.59023145726588,-0.3918771614381937,-65.22501092375389,-22.542212964245667
Negative,Crypto Risk Parity,213,0.20464239420355063,0.3279413093210806,55.39906103286385,50.879253778649435,89.78397468932809,0.5666852459439742,-50.06414828987096,41.574319090745604
Neutral,Crypto Risk Parity,256,0.3283598823553441,0.18883064749196007,50.78125,23.768121833910637,72.69818733352292,0.3269424273932422,-45.62424377491979,24.18775653790224
Positive,Crypto Risk Parity,285,0.4728015556405911,-0.07077896947011075,52.63157894736842,-28.72455360376913,56.59778994961331,-0.5075207641383422,-66.2254218995537,-31.816061808869133
Negative,Equity Equal Weight,212,0.2045699526667749,0.05271996647469269,54.24528301886793,12.765018871547863,15.977519156542854,0.798936226987438,-10.82087816923466,10.635052586985271
Neutral,Equity Equal Weight,256,0.3283598823553441,0.0798741519386672,54.296875,20.86526702083118,15.344640021466555,1.3597755953636894,-7.450658349698902,21.229381408178448
Positive,Equity Equal Weight,285,0.4728015556405911,0.02722951125137058,52.28070175438596,5.556846762717105,17.054805929148184,0.3258229255614078,-16.634002743087784,6.307035968890262
Negative,Equity Max Sharpe,212,0.2045699526667749,-0.021275905881363643,55.188679245283026,-6.523530362486607,16.622217909448455,-0.3924584792489383,-18.929866993017853,-5.517205436091799
Neutral,Equity Max Sharpe,256,0.3283598823553441,0.04387217349685019,53.90625,10.14794942880406,16.70212287925576,0.6075844072137642,-12.775607783814124,10.317067534339586
Positive,Equity Max Sharpe,285,0.4728015556405911,0.04157754834917023,54.385964912280706,9.260561470208263,18.00202505673255,0.5144177636140396,-16.441580277559897,10.535124671128226
Negative,Equity Min Variance,212,0.2045699526667749,-0.021435735865365648,51.41509433962265,-5.989905323351719,12.468565647543919,-0.4804005121897578,-11.815930605043512,-5.063655018335789
Neutral,Equity Min Variance,256,0.3283598823553441,0.0862300623438061,54.296875,23.317936059770837,12.379555688836648,1.8835842453374925,-6.083872347993169,23.728887641928864
Positive,Equity Min Variance,285,0.4728015556405911,-0.009291916605512977,53.333333333333336,-3.176998748608717,13.318492284351125,-0.2385404204004087,-16.72485561934779,-3.58549032270421
Negative,Equity Risk Parity,212,0.2045699526667749,0.032037686050123415,50.943396226415096,7.326834057965548,14.195223525478657,0.516147846831351,-9.164410323064143,6.128978070554614
Neutral,Equity Risk Parity,256,0.3283598823553441,0.07617017124476891,55.46875,20.00339727703078,13.847446511677628,1.4445549408811078,-6.220989488772077,20.351243357682325
Positive,Equity Risk Parity,285,0.4728015556405911,0.016919176119301885,52.63157894736842,3.1072696023707325,15.518382275050913,0.2002315413615198,-15.900668587970458,3.5212601808315425
Negative,Equity Sentiment Tilt,212,0.2045699526667749,0.032267874524574365,50.47169811320755,7.408453551915639,14.065068147143226,0.5267271707759468,-9.148308013182483,6.196871645416424
Neutral,Equity Sentiment Tilt,256,0.3283598823553441,0.07480710997757423,54.6875,19.579299429338313,13.92532932122916,1.40602056710355,-6.455468521816621,19.91917711337323
Positive,Equity Sentiment Tilt,285,0.4728015556405911,0.020666810876617286,52.98245614035088,4.074480296588523,15.587068347310328,0.2614013235716392,-15.017488511080579,4.620194196704053
